,TITLE,DATE,RATING,REVIEW
230,fabulous location amazing staff,2022 - 04,4,want caveat would 5 star review minor thing make jump 4 detail amazing stay staff amazing attentive good thing kid spoil treat like little princess course love location amazing raffle place mrt road access many area singapore room small room comfortable view marina bay sand magical sit watch world go balcony issue room request 4th towel twice 4 room replenish toiletry 2 day row call housekeeping get deliver deliver guy phone stuck hand walk away would make big deal usually pay much accomodation also expect service match price food food float boat much go breakfast one morning staff bring item menu buffet hygiene reason first morning hash browns cold sit food pod improve day would say one area need attention however cake store get lot business zero regret staff staff super friendly helpful well aware staffing shortage training requirement staff restaurant give different information staff reception differ concierge desk consistency would good correct information pool pool good perfect cool hour walk around overall super pleasant luxurious stay first family trip singapore recommend hotel would like spoil
231,family 20 love fullerton,2022 - 05,5,fullerton hotels town restaurant amazing customer service self service allow staff ball quick serve long wait time food good special thank lalikumar team great night
232,suite palladian experience,2022 - 05,5,warm welcome spectacular room magnificent view good variety delicious food importantly friendly staff ensure need meet special thank rhea ravi crystal lucy paolo
233,definitely come back againn,2022 - 05,5,come 3 day 2 night stay super impressed service fast efficient staff friendly quick respond need definitely come back yearly stayca
234,staff well,2022 - 05,5,location build good staff well thank take care four day speak english think bothered staff staff able respond pleasantly thank much good hotel come
235,relax hotel holiday singapore,2022 - 05,5,hotel room fullerton excellent quality close proximity city perfect holiday also highly appreciate service strait club special mention crystal lucy nicholas paolo zep look stay give idea go stay singapore definitely stay fullerton next stay big thank
236,good vacation mode,2022 - 05,5,good service frontgood experience room din good location convenient merlion park boat quay hotel build beautiful room clean give good vacation mode
237,luxury history combine,2022 - 05,5,clean luxurious hotel touch history everywhere excellent well appoint room business trip gentle reminder replenish disposable item room otherwise service impeccable
238,historical hotel excellent service,2022 - 05,5,historical hotel locate center singapore minute away famous merlion food service excellent especially strait club pool see central district make feel extraordinary would highly recommend hotel would like experience historical atmosphere
239,expect fullerton hotel,2022 - 05,3,expect fullerton hotel good reputation front desk staff helpful bad mood friendly breakfast cold n taste good although order menu car park long walk
240,excellent room facility,2022 - 04,4,enjoy stay heritage room spacious balcony housekeeping staff good despite hotel nearly full breakfast good well except staff serve sometimes appear disintereste hence 4 star rating 5
241,mediocre,2022 - 05,3,perhaps visit labour day holiday checkin delay 25 hrs clear communication spend lot time wait breakfast average pool really small expect 5 star hotel room nice though clean
242,service strait club fullerton hotel,2022 - 05,5,hubby would like thank crystal lucy serve strait club fullerton hotel pleasant memorable time thank warm thoughtful service surely like visit
243,quayside pool room review,2022 - 05,5,request middle room pool view well note hotel view great surprised bottle bubble non alcoholic room clean neat luxurious portable stereo sound system clear enjoy jazz music throughout think people pool enjoy thumb great experience room dine delicious recommend lobster nasi lemak
244,outstanding service quality,2022 - 05,5,location service beat property much history free one tour recommend staff absolutely everyone go beyond expectation make feel welcome provide good place spotless everywhere amenity fantastic want special memorable stay cake shop wow room dine nice coffee expensive side overall truly wonderful
245,comfortable stay nice room,2022 - 04,4,really nice stay good service manage deal early checkin late check request every staff kind helpful except restaurant would great would improve restaurant menu service
246,honeymoon upgrade,2022 - 05,5,lovely hotel expect well design upgrade suite instead balcony marina bay view book spacious nice slice welcome mud cake wait room location superb sadly singapore 3 day definitely come back
247,wonderful fullerton hotel staycation,2022 - 04,5,overall great experience stay fullerton hotel room wonderful clean amenity great would definitely recommend outstanding hotel friend family p
248,2 day stay fullerton hotel,2022 - 05,5,nice good location hotel staff friendly pleasant approachable helpful th hotel well maintain comfortable beautiful room easy get around via bus train taxi walk abound right heart city
249,spacious room cosy ambience,2022 - 05,4,good stay anniversary overall good level hospitality standard staff however stay slightly taint isolated incident whereby bathe towel clean towel pubic hair stick perhaps hotel could look laundry segment
250,book rating big mistake go mbs instead,2022 - 04,1,regret hotel joke def three star hotel go mbs see difference breakfast horrify wonder restaurant inside empty lounge bar empty
251,enjoyable staymanage good rest,2022 - 05,5,friend good rest delight 1for 1 promo labour day hari raya long weekend great deal take opportunity visit eat nearby restaurant food centre
252,lackluster experience,2022 - 05,3,service staff find want quality food disappointing quality accommodation good however layout hotel confuse many time ask direction accompany aged mum wheelchair bind find tricky navigate open space notice absolutely marker indicate floor give way step gradient color distinguish drop present serious trip hazard anyone especially less mobile able find swimming pool deck lift take right one end go around maze lastly daughter unable use spa facility even though still early enough informed closing
253,comfortable stay,2022 - 04,5,nice comfortable stay location fabulous view proximity key area cbd room right size nicely equip modern facility breakfast experience great though place totally desert evening guest hardly see fandb outlet staff polite courteous
254,great location facility,2022 - 05,5,last week travel mostly holiday part business hotel well locate service provide exceed good intend return singapore book stay hotel
255,lousy check experiece,2022 - 04,3,chaotic messy slow check staff attentive avoid eye contact like visit aande department public hospital way long may day weekend good glass hotel still perform much well
256,good birthday,2022 - 04,5,always guest service team impeccable really appreciate try remember name birthday give cake delicious room beautiful love bathroom
257,memorable stay,2022 - 05,5,spend long weekend fullerton hotel delight guest service well suite stay offer great view mbs city skyline special thank strait club staff lucy nicholas attentive friendly thank leave memorable experience ny family
258,great hotel,2022 - 05,5,hotel centrally locate easy access singapore offer easy access rail system walkingdining area would definitely choose hotel return great friendly staff willing meet need
259,fantastic stay fullerton hotel,2022 - 04,4,first time experience staycation fullerton stay near perfect enjoy afternoon tea courtyard sumptuous dinner town friend quality food good whilst understand shorthande service crew appreciate team work hard keep service level breakfast town morning sit outside terrace well set overlook andersen bridge singapore river hand service first class breakfast choice also good mixture oriental western option
260,delightful oasis downtown singapore,2022 - 04,5,splendid memorable experience elevate great detail term property room experience would happily return either biz family breakfast area quality good public space large expansive whisky bar fun end night treat one eve thank helpful attentive staff
261,stay fullerton hotel,2022 - 05,4,overall quite satisfied stay except checkin delay slightly hour checkin give key room however given stay long public holiday could expect crowd think management could well manage
262,great location well maintain,2022 - 05,4,room clean location central check well organise smooth even though long weekend many family pool big good enough fun great view boat quay
263,one night fullerton,2022 - 05,5,wife spend overnight staycation fullerton without set sort expectation outcome serve whet appetite opportunity certainly experience go beyond would imagine attention detail room lounge kind welcome front desk experience checkin strait club lounge warm hospitality host crystal june make whole 24 hour worth good job fullerton
264,one night fullerton,2022 - 05,5,overall good recommend food town restaurent decent breakfast expect one option limit quality mark like expect fresh juice tetra pack serve
265,wonderful birthday week,2022 - 04,5,wonderful week singapore overall stay wonderfulthe room clean wellmaintaine friendly helpful staff service superb great location great view definitely stay
266,good environment good customer service,2022 - 04,4,hotel staff friendly always assist guest even though busy high volume guest check location hotel convenient travel around nice surround take walk dinner relax take photo
267,singapore heritage,2022 - 04,5,building see singapore grow british colony independent book corner l1 learn lot history young generation know thumb effort educational reminiscing trip rediscover singapore really love stay bathroom hubby especially enjoy toilet bowl disinfect purpose
268,beyond expectation,2022 - 04,5,hesitant stay high end property find experience always match hype however definitely case fullerton moment arrival checkout stay simply fantastic fullerton well pay grade birthday treat manage get exceptional rate courtyard room spacious comfortable quiet stay four night 9 night trip singapore day one eagerly try change stay entire 9 night sadly possible complimentary history tour hotel provide terrific guide linda thomas pool area lovely sanctuary selikan gracious host pre arrival enquiry answer promptly concierge team look forward return fullerton next trip singapore
269,fullerton high expectation deliver,2022 - 04,5,family great experience staycation fullerton hotel friendly service receive throughout 3 day stay special mention pool guy always greet everyone smile ever helpful also special mention ms rhea help check make experience pleasant friendly
270,palladian suite good view,2022 - 04,5,come family love stay fullerton service staff room view everything thank staff help checkin strait club staff member assist whenever go breakfast tea canpe
271,amazing experience,2022 - 04,5,staff incredibly helpful go beyond location good beautiful pool overlook singapore river room clean well keep fantastic amenity would recommend stay
272,perfect,2022 - 04,3,good architecture checkin process nightmare request early checkin understand request base room availability however get room way beyond state timing
273,bad reservation team marina room view wall face,2022 - 04,1,bad reservation team read email inform receive booking confirmation check junk mail nothing reply check junk mail request pool face room tell fully take checkin staff nice offer upgrade x marina view end marina view wall face view deposit room also charge twice credit card one double collect
274,town restaurant fullerton hotel,2022 - 04,5,whole experience superb service excellent big thank ms princess sir rey grant request aside great service especially like misomarinate salmon sweet special recommendation sweet tooth like thank town restaurant surely come back recommend friend
275,town restaurant fullerton hotel,2022 - 04,5,buffet first time lift restriction nice service esp staff princess rey though still need ask staff food back next time
276,good excellent,2022 - 04,4,always want stay iconic hotel think well place historic heritage bring almost80yearold parent inlaw first staycation book seamless mira extremely patient helpful excellent suggestion esplanade room face marina bay checkin really smooth tomoko indeed impress spacious well appoint esplanade room clean well maintain housekeeper great job everyday daily breakfast include room rate sorely disappointing seem like hotelrestaurant intent get job minimum effort term menu variety service concierge team proactive fact almost disintereste good stay suggest hotel management look daily operation town restaurant
277,great wedding dinner super nice room service,2022 - 04,5,clean ata hotel come host wedding dinner strait room great violette wedding manager handle wedding well stay fullerton suite super magnificent love super recommend landing point high tea great food nice thank fullerton
278,puzzle service,2022 - 04,4,topnotch hotel beautiful build great room service far topnotch bin room empty twice amenity bathroom replace order breakfast partially fulfil puzzle hotel wellregarde expensive fullerton
279,birthday staycation,2022 - 04,4,pleasant stay experience service good food great well kiddo enjoy hotel facility would visit promotion family package
280,55th birthday celebration,2022 - 04,5,go fullerton hotel staycation celebrate 55th birthday staff kind offer good service time check meal check next day every staff meet friendly helpful really make feel welcome
281,facility room fuction well,2022 - 04,3,bit disappointed due fridge working room call technician check say need wait one hour monitor fridge turn check wait whole night condition still bring cheese cake celebrate wife birthday surprise unable use fridge keep birthday day cake make day gonewe keep cake reception area rain shower mixer also bite leakage use bad experience bring wife celebrate anniversary
282,amazing location even well facility,2022 - 04,5,hotel great location important place walk distance hotel merlion park mbs museum cavenagh bridge right outside lobby stay comfortable thank fullerton
283,superb service great experience,2022 - 04,5,wonderful 3d2n stay staff friendly attentive hotel breakfast amazing hotel location close proximity many local attraction right opposite asian civilization museum
284,palladian suite birthday celebration,2022 - 04,5,incredible palladian suite fullerton singapore easy check suite face singapore river breathtake amazng blacony view many thank rhea reservationsfrontdesk team arrange birthday amentitie also enjoy strait club afternoon tea evening canape lounge also serve madetoorder breakfast delicious egg dish right choose fullerton singapore birthday celebration month time head back fullerton another birthday celebration also try palladian suite always joy see robby lizzy soon
285,truly relax pamper stay,2022 - 04,5,top notch right aesthetic reception room facility staff friendlinessattentiveness truly enjoy stay enjoyable facility rich history hotel venture hotel also breeze many local attraction nearby
286,reception staff unfriendly unhelpful,2022 - 04,3,counter staff helpful ask upgrade heritage room state voucher say subject availability next moment even check check courtyard room ask simply say available check online still many heritage room available ask parking coupon say exit subsequently payable seem unfriendly unhelpful totally ruin experience start buffet area also severely understaffe though friendly nice
287,short family trip,2022 - 04,5,fullerton hotel excellent ever beautiful architecture luxurious feel stay comfortable room amenity bluetooth speaker chromecast feature tv much appreciate since kid would definitely stay future
288,stay fullerton hotel,2022 - 04,5,staycation fullerton hotel anniversary amazingly friendly service member hotel staff check process simple quick breakfast amazing swimming fun
289,birthday staycation,2022 - 04,5,wonderful staycation unforgetable moment familythis 1st time stay hotel regret choose would like commend anne hakqim senior guest officer outstanding service asset also chinese young lady assign clean room good job indeed family pleasant great stay day 1 till last day stay definately come back
290,luxury hotel spare expensesperfect stay,2022 - 04,5,stay fullerton hotel 2 night staycation deal time 2 night price 2 end really good value singapore standard location great location right next marina bay room love room decor big tv ever bathroom one smart toilet everything need sit haha service customer service great responsive breakfast comment food would recommend stay I singapore
291,fantastic hotel highly recommend,2022 - 04,5,fantastic hotel definitely stay next time visit singapore staff helpful friendly accommodate beautiful hotel clean classy excellent location
292,overprice terrible service,2022 - 04,1,disappointed hotel want family package connect heritage room 450 per night stay 2 night check hotel charge 2 room 2 night 1800 booking stay hotel explain connected room 2 room 2 fee insist stay 2 room must pay 2 room price staff ms rhea unprofessional friendly keep say policy sign paper even complain director room mr terry wu still say send confirmation nothing wrong problem hotel want rip care customer care customer feeling hotel explain customer service well charge customer every penny look hotel offer hotel room line always answer one take order clean table restaurant clean rubbish bin room cleaning staff unhelpful worth
293,great stopover,2022 - 04,5,always love fullerton disappoint family stop 2 night route sydney london look forward return soon might even try fullerton bay
294,amazing stay,2022 - 04,5,kudo front desk staff anne smooth quick checkin process request early check room already ready birthday cake also send room awhile pleasant stay staff welcome well wait back
295,singapore grand dame,2022 - 04,5,stay 10 time would never visit singapore stay soon step smell grand lobby area feel like home staff always attentive friendly unintrusive room classy clean comfortable bed love fullerton fullerton bay
296,grand hotel great staff,2022 - 04,4,really enjoy stay fullterton bed comfortable room service housekeep good gym pool sauna excellent bathtub treat reason give 4 star rather 5 find breakfast option bit limit could really get sort breakfast would like
297,truly wonderful experience,2022 - 04,5,good hotel stay singapore past two year check inout fuss free decoration pleasing look room stay clean comfortable also locate good location raffle mrt station stone throw away even though halal food provide hotel easily get nearby place like lau pa sat esplanade marina square name someone want experience staycation least highly recommend regret wife thank fullerton pleasant stay
298,wonderful experience,2022 - 04,5,first time stay wonderful stay say service experience incredible good thank hotel team location absolutely stunning view lobby certainly amazing welcome room impeccable clean amazing welcome club breakfast simply fantastic thank nichola team go way make sure family great stay peaceful relaxing stay definitely come back next staycation
299,excellent service,2022 - 04,5,go short staycation fullerton hotel truly satisfy service hotel prearrival checkin registration room service restaurant service everyone staff attentive courteous friendly efficient service render rey town restaurant also extraordinary provide excellent service surely back experience fullerton hotel next time
300,classic beauty,2022 - 04,5,full historical beauty location enthral skyline many luxury hotel compete space fullerton continue stand tall uniqueness classic withstand test time
301,staycation fullerton hotel,2022 - 04,5,definitely worth money luxurious amenity room facility staff friendy helpful stay quay room face singapore river boat quay wish big pool area overall relax staycation definitely come back
302,central everything,2022 - 04,4,great hotel family trip make easy close access great food attraction service good food quality could well customer service need effort especially seek snack coffee room guest service excellent close many great eatery within 5 minute walk
303,pleasant stay historic quarter,2022 - 03,5,like friendly staff outdoor breakfastdine option central location room big bit barren pool become quite full quickly convenient home learning work
304,quick renovation staycation,2022 - 04,5,excellent service room warm attentive staff would highly recommend hotel singapore among myriad choice around location also fantastic attraction nearby well connect subway mrt line one good pricevalue offer high level
305,first fullerton experience,2022 - 04,5,get opportunity stay fullerton singapore thank amex promotion despite feel staff still give 100 provide good possible service front office staff friendly even give direction way good go room reassure quality room without even ask room dining staff also friendly send request promptly room also extremely big enjoy bathtub inside room good thing room would toilet bowl seat warm make experience enjoyable thank fullerton hotel
306,great quality hotel,2022 - 04,5,one great quality hotel singapore amenity room bed well would like stay hotel extend experience singapore thank kind service great care
307,absolutely love hotel,2022 - 04,5,daughter absolutely enjoy stay grand old dame fullerton hotel smack luxury history elegance moment walk glad pick hotel short stay singapore would happily stay make visit memorable hotel staff meet staff member crystal siti joshua reservation rhea gallen sep pool attendant friendly still maintain professionalism carry task make sure visitor feel home ease stay book hotel qanta must say qantas rather stuff book however thank joshua colleague checking go rather smoothly spite misplace book checkin joshua take club room enjoy much need cocktail canap
308,good starting date,2022 - 04,4,beautiful public area great location room marina bay view room lovely outlook room touch small decor bit tired sheer tatty bathroom tap sink work properly food choice old fashioned boring restaurant ipen available pool lovelybut small number people
309,2022041020220416,2022 - 04,4,great luxurious experience swimming pool location concierge service great well increase flexibility term portion reduce food loss sewer may old smell time time room
310,fullerton hotel staycation,2022 - 04,5,email request early checkin grant 11 great service provide front desk explain everything make whole process smooth easy room big spacious alot natural light window enjoy pool facility view pool inroom dining food delicious definitely go back overall enjoyable time would love return fullerton hotel soon
311,lovely ambience staycation afternoon tea,2022 - 02,5,really enjoy fullerton hotel staycation check smoothly smile staff even guide room room cosy spectacular view bay area lovely hang room entire day enjoy afternoon tea courtyard spread delicious much variety mention item delicately make could even bear eat take many photo ambience atmosphere courtyard quiet relaxing staff also attentive would replenish food whenever see empty enjoyable time would always return staycation fullerton always first choice
312,great staycation room improvement,2022 - 04,4,palladian suite tent set 4yo night sky projector loooove room great well decorate clean comfortable luxurious toilet impressive excellent view harbour flyer marina bay sand shame private balcony think would room face cbd side nitpicking breakfast strait club well food item impressive kid room somewhere hotel place kid play mummy daddy relax enjoy staycation
313,pleasant staycation,2022 - 04,5,stay 1 night family queue checkin staff organize neatly invite seat wait take 30 min gym clean great location room service prompt high expectation glad say meet
314,april stay,2022 - 04,5,perfect check checkout large room child cot nice bathroom set clean comfortable pillow little soft really pedantic good value money 5 hotel
315,fullerton hotel,2022 - 04,5,celebrate husband birthday staycation fullerton hotel toddler us service superb front desk dining room location great love many place within walkable distance enjoy stay
316,really great pleasure fullerton hotel sg,2022 - 04,5,comfortable luxurious hotel really nice breakfast whole atmosphere really great staff courteous friendly pool 2nd floor nice pool service staff always helpful friendly
317,overall comfortable stay,2022 - 04,5,hotel staff friendly approachable location hotel convenient cbd area nearest mrt raffles place convenient store within 10mins walk hotel overall good environment
318,great experience,2022 - 04,5,great place great hotel great room great checkincheckout great staff satisfy service hotel facility swimming pool also nice want stay hotel
319,beautiful property great location,2022 - 04,5,enjoy beautiful hotel locate right middle everything close mrt station quay love historical tour around property staff friendly helpful great breakfast also
320,great stay anniversary celebration,2022 - 04,5,friendly helpful staff comfy bed spacious bathtub issue regard small fault room otherwise entire experience great relax bf highly recommend couple
321,accept call sm whatsapp,2022 - 04,5,able snag 50 promo 2 night stay absolute steal must least life service impeccable disappointed front desk insist call sm whatsapp perhaps guest conscious roam charge target market also location mrt station 13rd raffle place 23rds city hall bus stop quite walk like 800 location bother meet business district also dead weekend taxis hard come
322,truly memorable experience,2022 - 04,5,team fullerton friendly service exceptional truly make sure feel home hospitable always nice chat give fantastic tip personal touch notice appreciate location fantastic return recommend extremely welcome whole time
323,call hotel,2022 - 04,5,good location near marina bay sand clarck quay theater mrt etc location good running walking ride morning room big clean service excellent front liner restaurant inside hotel quality one
324,fabulous hotel go back,2022 - 04,4,stay fullerton bay fullerton like fullerton bay room furniture finish great quality cozy dark whereas fullerton hotel great room marina bay view room good view stay room 601 toilet need upkeep try spa fullerton hotel staff therapist professional
325,1 day trip fullerton,2022 - 04,5,overall happy stay fullerton staff friendly helpful room nice spacious amazed automatic openclose toilet seat fullerton list future staycation
326,hotel apt onenight stay,2022 - 03,2,room clean one night would properly breakfast staff might ask name every morning might noisy work room staff might neglect give spare room instead
327,limit option vegetarian,2022 - 04,5,staycation awesome experience room nice cozyand service standard blip experience 1 leaky shower big deal sure 5 star property 2 limited vegetarian option breakfast great staycation nevertheless
328,disappoint,2022 - 04,4,fall short expectation book palladian suite room look nice bedding soft though room purifier could feel dusty developed rash due dust breakfast strait club disappointing spa worth
329,enjoyable stay,2022 - 04,5,overall great experience consider price get discount steal thing room view else everything good even toilet awesome warm toilet bowl many hotel provide
330,great experience amazing room service,2022 - 04,5,first time fullerton hotel safe say go back future really enjoy stay service staff helpful patient definitely recommend want really luxurious experience
331,luxury,2022 - 03,5,idyllic retreat minute walk know go good vacation formal ball room pool side exquisite mention restaurant view location also stun
332,ok stay,2022 - 03,4,good stay overall marina bay view room comfortable quite well maintain hotel seem still limit offer inroom dining choice limited breakfast limited menu overall may necessary give opinion hotel sector singapore fully reopen
333,3d2n stay,2022 - 03,5,love everything service room aesthetic try glampe package kid thrill able sleep sleep bag service staff would remember even second visit impressive
334,stay fullerton,2022 - 03,5,overall service room environment great breakfast nice well thing improve sleep pillow soft easily flatten long lie staff include housekeep person friendly
335,appreciation fullerton heritage hotel,2022 - 03,5,top mark fullerton hotel make one month stay singapore memorable enjoyable pleasant staff team expert leadership gm gino tan extremely excellent food scene new culinary director david laval move bar would definitely recommend fullerton would stay
336,amazing hotel top service,2022 - 03,5,good stay among local hotel spacious peaceful service great everything hotel update could even chrome cast netflix disney plusi definitely come back future
337,great hotel staycation,2022 - 04,5,great staycation experience family get 2 room hotel provide connect room make stay enjoyable staff prepare little surprise belate birthday greatly appreciate
338,family stay cation,2022 - 04,5,2 night spentlocation great lot place interestfoodlive band n shop mallsa great place tourist even localsour marina bay view room awesome room spacious well
339,fullerton must,2022 - 03,5,fullerton hotel wonderful stay singapore history charm building along central location make one top pick get view patio room huge clean comfortable staff friendly helpful dine town lunch terrace food amazing also dine jade peke duck well ever eat pool great look river park beyond watch tile though bit slippery overall exceptional hote definitely back
340,clean nice,2022 - 03,5,room well maintain clean like bed seal son toy chance slip bed play interior bathtub clean rust well overall nice experience
341,want customer back,2022 - 03,1,overall service fully still covid peek quality lack room cleaning noon even leave relevant button press try book meeting room attempt 3 time total almost 90 minute wait thing go back pre covid price actually even high
342,one night staycation amex,2022 - 04,4,free one night stay premiere courtyard room staff ascertain would use pool facility checkin therefore place floor second floor pool give much convenience access pool dinner else plenty food option immediate vicinity within walk distance breakfast town restaurant standard english breakfast choice egg nasi lemak laksa great spicy much rice nasi lemak overall great short getaway home
343,cleanliness,2022 - 03,5,cleanliness hotel superb room clean neatly organisedthe view room nice could improve window slightly big enjoyable trip
344,great customer service,2022 - 03,4,stay marina bay view room view good customer service excellent side intend travel late hour basement door carpark lock walk abit go carpark
345,classic hotel,2022 - 03,4,overall feel good bed soft able sleep well hard turn body toilet bathtub good clean staff polite helpful restaurant food reasonable especially jade
346,staycation,2022 - 03,4,staff helpful friendly check ok delay room big however windows block structure hence limited view towards singapore rivernot sure get structure overall stay ok
347,favourite hotel,2022 - 03,5,renovate room lovely toilet come heat seat bidet hotel staff pleasant even greet along corridor pool gym great would definitely come back
348,impress,2022 - 03,3,expect service well hotel stature beautiful hotel beautiful room beautiful facility disappointing service first impression entrance welcome either concierge section definitely need improvement
349,great room service ambience,2022 - 03,5,pleasant stay fullerton hotel 2830 march 2022 room 240 impress simon whose professionalism hospitality show room service commendable certainly make stay remarkable
350,pleasant cosy stay,2022 - 03,4,love bathtub mirror big tv ever see hotel room 50 downside virtually view occasional hammering drilling lipstick mark coffee cup help either
351,truly deserve,2022 - 03,5,awhile since attend great service professionalism view marina bay suite amazing infinity pool also perfect way end staycation definitelt want come back stay
352,courtyard,2022 - 03,5,come high tea session mum birthday warmly welcome friendly staff manager manager lalikumar super friendly attentive need definitely visit courtyard recommend tonour friend family
353,suite room disappointing,2022 - 03,3,book suite room give newborn toddler hence would require big room however exprience staying suite room make difference except lounge access big room size however staff club lounge awesome great service
354,memorable staycation,2022 - 03,5,staff fullerton polite friendly memorable belate birthday staycation mom room spacious beautiful view marina bay special thank claudia help accommodate staycation date change sick shermaine front desk also ensure checkin smooth efficient food soso wonderful service staff team town restaurant make dining experience pleasant keep good work
355,experience like never,2022 - 03,5,experience well start checkin reception desk room amenity view even short 30 second exchange room service attendant pleasant truly negative feedback give even try spot one however wish hotel halalcertified restaurant serve least halalcertified menu inroom dining
356,perfect staycation,2022 - 03,5,2nd staycation fullerton time round manage book room marina bay view balcony perfect table chair enjoy view room clean conducive love tv come chromecast bluetooth speaker really enjoy stay look forward future staycation fullerton
357,quite disappointment,2022 - 03,3,make reservation boyfriend 10 year anniversary celebration read good review post couple 1 wait approx 15hour checkin checkin time suppose 3 pm room ready 416pm go check receptionist 4 pm status room tomoko kindly offer free drink restaurant wait 2 check room another disappointment could see anniversary amenity provide although agree email would gladly arrange call receptionist receive small slice chocolate cake understand anniversary amenity complimentary definitely appreciate cake however read reviewspost amenity offer couple could help feel slightly disappointed could see staff try well please service restaurant breakfast buffet unfortunately though would probably last time definitely enjoy well experience hotel 5star hotel
358,must try rom dining,2022 - 03,4,expect room dine much excellent potion enough taste great must try pasta napolitana caesar salad humberger tired go dinner well try room din
359,location location location,2022 - 03,4,great short business personal trip superb historic building restore put good use hotel great location room average view try place least maybe back need well room
360,overnight staycation,2022 - 03,5,second time staycation fullerton small room cosy enough one person stay nice quite environment nice friendly staff nice encounter staff breakfast always ensure ok overall good night stay
361,ms,2022 - 03,4,good experience staycation family daughter love cause free ice cream daily location good convenient dining outside hotel nice view ad scenery photo take
362,beautiful stay hotel,2022 - 03,5,hotel well furbish room clean spaciouslove high ceiling breakfast really good highly recommend staff friendly helpful
363,great smile service rey wendy,2022 - 03,3,must sincerely compliment service rey wendy though food quality good expect surprisely impressed friendly attitude dedicated service constantly check refill wine etc even help feedback food quality chef however dine place seem incline towards caucasian make feel place begin especially server princess cut conversation couple time chat order food rude management ought look professionalism question work attitude thank wonderful experience rey wendy keep passion
364,staycation,2022 - 03,5,staycation venue accessible tourist attraction especially museum issue find food like old building local wanted stay least life
365,beautiful hotel,2022 - 03,5,hotel centralise surround good food beautiful room beautiful view good facility happy spend birthday hotel memorable come back anniversary celebrate
366,excellent experience,2022 - 03,5,hotel experience excellent kudos crystal nicholas make stay enjoyable excellent service attention detail room one cleanest encounter check n breeze
367,beautiful hotel nice pool,2022 - 03,4,enjoy stay fullerton room clean spacious though decor little date breakfast town restaurant enjoyable especially enjoy outdoor seat river give overseas vibe pool 7 gym also well serviced vide variety equipment good condition
368,staycation,2022 - 03,5,good selection food importantly superb service warm hospitality manager lalikumar serve well attentive request need accomodate special request really enjoy stay
369,rejuvenate stay,2022 - 03,5,husband hiccup like pillow nightmare neck comfortable find pest room housekeeper kind clear p clean room thoroughly apologize unpleasant experience overall good experience
370,perfect staycation,2022 - 03,5,really enjoy stay fullerton beautiful hotel steep history room perfect pool scene night impressive excellent service staff receive birthday cake though birthday 2 day ago pity manage go complimentary heritage tour fully book miss beautiful display history build corridor lead basement 2 towards car park
371,classy always,2022 - 03,5,well locate excellent hotel service great hardly affect covid situation room wonderful comfortable bed good bathroom excellent amenity wifi air conditioning work well want food option great sit outside veranda enjoy covid downer limit time pool side gym back course
372,enjoyable trip,2022 - 03,5,hotel room big enough rollaway bed add yet still spacious hotel staff make alternative arrangement go swim fullerton bayfront hotel swimming facility fullerton fully book hotel near historical site singapore important site
373,nice hotel,2022 - 03,4,clean good hotelfriendly staffnice hotelwill reccoment friend colleage stay fullertun hotel futurethank much good service clean roomhappy stay fullertun hotelwill come stay
374,home indeed,2022 - 03,5,home away home super love staycay fullerton complimentary icecream activity kit kid complimentary birthday cake balloon spacious room toilet love heat toilet seat hahahahahah
375,great stay fullerton,2022 - 03,5,amazing location amenity great customer service warren front end manager hefiz concierge lovely decoration christmas chinese new year must stay anyone come singapore
376,well good good hotel,2022 - 03,5,great hospitality good vibe uncle check area carpark sooo friendly cute pregnant lady philippine guy reception counter awesome overall everyone friendly nice definitely stay hotel
377,nice staycation,2022 - 03,5,overall experience great book 2 room heritage marina bay view room mean birthday well friend birthday celebration enjoy staycation compliment water room somehow limit hope hotel provide bottled water room visit soon
378,great hotel super staff,2022 - 03,5,super hotel first visit singapore lot complicate constantly change covid relate requirement order enter singapore well worth welcome comfortable well positioned lovely food perhaps strike thing hotel staff friendly helpful competent book standard room happy air con nice quiet powerful shower separate loo always good huge bath well comfortable bed ever experience choose hotel next visit without doubt easy get place plenty riverside eatery right doorstep breakfast fullerton great lovely choice table service pleasant environment plenty keep go evening absolutely nothing fault team get tee
379,staycation,2022 - 03,5,beautiful hotel nostalgic vibe staff ever pleasant always willing help spa must great pampering breakfast delicious could customise item willing adjust pillow soft though mattress great definitely come back
380,wonderful stay fullerton hotel singapore,2022 - 03,5,excellent service thoughtful team provide birthday amenity hotel convenient parking mrt hotel staff friendly approachable make stay extremely pleasant one
381,wife birthday,2022 - 03,5,ever since got marry fullerton loyal customer fullerton hotel bring great memory heritage well food jade top notch standard still remain many year thank alson jade serve friendly caring forget lady name must remember remember taiwan customer service cleanliness high standard
382,memorable stay iconic hotel,2022 - 03,5,moment arrive leave look superbly fullerton quay room wonderful view boat quay river bridge delicious breakfast town restaurant every morning recommend lantern roof top bar fullerton bay early sundowner would love return thank fullerton
383,lovely experience,2022 - 03,5,lovely memorable experience room clean staff friendly request attend quick manner thank definitely stay next time chance
384,great staycation kid,2022 - 03,5,2 night stay fullerton excellent hospitality kid love great see many activity kid room comfortable downside hard get swimming pool slot inroom dining improve
385,amazing hotel leave small kid home,2022 - 03,4,fullerton hotel amazing staff facility overall experience however family soon realize suitable really family staycation due lack kidoriente facility say staff super friendly towards kid never make feel belong ultimately poor planning part want share experience look make similar choice kid age 5
