,TITLE,DATE,RATING,REVIEW
236,greeting must,2017 - 06,2,value hospitality hotel warm welcome reception staff even guy busy follow standard process even greet forget housekeeping staff always smile I shock room toilet small think bath tub way well good think hotel location mall bar restaurant mrt etc near walkable water dispenser inside room huge help
237,nice lady concierge,2017 - 06,3,hotel small everything would accord size lady concierge nice attend courteously allow checkin room early right finished signing document need checkin june 21 2017 1130 nice lady give also 110 mb free wifi hotel right orchard road area problem shopping restaurant eat
238,accessible orchard mrt,2017 - 06,4,walk distance mrt less two minute walk well orchard road reachable orchard plaza orchard central etc location ideally suitable breakfast try four day stay soso comfortable double bed facility room average carpet clean stain whatsoever ask 430am wake call receptionist forget apologise say surprise tone stay next visit mainly due location thank
239,something similar budget hotel,2017 - 06,3,book hotel expect 4 start property experience budget hotel brief positive negative positive side 1 water purifier room 2 swimming pool terrace good life guard 3 greenery good entire singapore negative side 1 small roomspic uploaded web site alter show big room actually small enquiry manager say market sir 2 confirm book advance payment mean per availability book hotel 2 month back still arrival one room give per book reply confirmation subject availability 3 deluxesuperior room mean standard room king size bed mean small bed 6 foot tall 45 foot widthvery uncomfortable couple small kid give 50 mb wifi coupon entire 5 night stayrubbish free wifi 4 staff reluctant helpservevery rude shd say even know hospitality mean 5 even basic toiletry give even ask one staff mention provide room category forget iron shoe shiner etc yes book deluxesuperior room 6 small bathroom shower glass even curtain single bath complete bathroom spoil 7 inspite individual bookingprivately forced join degrade breakfast group tour menu pathetic 1 scramble boil egg sweet rice choleybean mainly water melon fruit bread butter jamit ok pay budget hotel deluxe 4 star hotel 8 show dislike bf last day allow bf original cafeteria thing little well upto mark 4 star hotel show actually 9 also respect indians customer even elderlysenior citizen 10 one day since 1st half free reach bf around 930 staff start close counter machine even b4 10 whereas official timing bf 10 ever leave show courtesy replenish thing want teacoffee manager switch machine even request help still 955 clearly show donno hospitality pls book hotel look budget hotel thank
240,perfect location,2017 - 06,5,stay hotel day back johor bahru location perfect short walk orchard road close shopping centre room decent size well appoint infront hotel foodcourt near sommerset mrt pricing amenity good would like come back stay next time definitely worth stay
241,good location average service except one,2017 - 06,3,stay hotel day say hotel accessible heart singapore bad thing food breakfast satisfaction although crowd arrive tell check counter level 2 direct well meet mark upon check family request room nearby find thoughful room give nearby easy communicate internet 50 mb enough understand wifi free hotel give free entire stay 12 1 day ripoff breakfast good vegetarian food staff smile desk staff friendly although area happy might come back stay singapore
242,bad nothing special,2017 - 05,3,place bad budget arrive 7 due early flight guy nice enough give room early room small suit fine spend much time room pool area nice hotel good location
243,give zero star,2017 - 06,1,terrible service toiletry replenish every day lobby smelly provide 100 mb wifi datum whole stay six day force buy wifi connection hotel worth 32usd 5days explain check call service operator thrice internet got hang twice rude phone operator breakfast bad food hawker even well hotel feel like eat old school canteen terrible terribe terrribbbleee experience never ever recommend
244,terrible experience,2017 - 06,2,stay friend 3 day terrible experience 1 key per room ask 1 plate room case wanted put fruit whatever would put filthy table wipe wet wipe gross simply refuse plate come good part use credit card time checkin come home 3 day money miss account itune account never happen hotel world coincidence let judge
245,hotel chancellor orchard nice location average service,2017 - 05,2,stay hotel 4 night 26th may 2017 29th may 2019 reception staff courteous check demand deposit s50 inform singapore dollar give 100 return back acceptable go money exchange get change sin room ok wifi limit 50 mb number day stay house keep staff polite courteous breakfast counter bad staff rude refill item get exhausted breakfast timing till 10 suggest go 930 mercy staff ever available roof top pool lock go 29th may
246,par property horrible experience,2017 - 05,2,terrible experience hotel four star status hotel staff rude unprofessional especially service staff breakfast area body supervise arrangement listen guest food quality bad variety offer breakfast terrible repetitive whole 3 day eg serve one fruit ie water melon continue three daysit seem deliberately like one star hotel toiletry give wifi 50 mb whole 3 day hotel reduce status one star nothing even provide basic amenity plea maintain green environment ridiculous hotel offer every basic amenitiesbasically frill hotel consider price charge save grace location posh areathe hotel staff management seem forget word hospitalityfor well green environment close hotel place recommend
247,mr,2017 - 06,4,nice hotel within reasonable price locality need improvement stay 3 day wifi limit 50 mb entire stay disappointing breakfast room small compare hotel
248,good experience,2017 - 05,2,location hotel good moderate pricing experience good expect food buffet horrible body help guest one worst ever scramble egg eat would definitely go also find lot racial discrimination towards indians prevalent
249,worth price,2017 - 05,2,hotel 2nd choice since 1st choice already fullybooke stay 3 night business first impression hotel actually great location one good factor consider near venue event early checkin around 12nn lobby small souvenir shop please eye make lobby unattractive room get small good enough 2 person first night good next day part change great impression bad impression go restaurant take breakfast must say bad breakfast far fry steamed chef effort choosing menu one serve sausage nugget fish fillet etc effortless dish eggs awful restaurant look like cafeteria something front desk knowledgable around area like seriously keep tell ask concierge also know frontdesk agent also source information atleast google let feel exert extra mile assist stay unless breakfast improve
250,quiet hotel busy environment,2017 - 05,4,hotel surround accessible road road oneway direction vehicle pedestrian access easily direction consider vehicular human traffic environment one would believe nice quiet hotel could free wifi available guest
251,much wrong hotel,2017 - 05,1,visit singapore many time easy find 5 square metre box window lot research getting value money singapore almost impossible end give acknowledge want quality hotel pay well case pay dearly simply awful begin room small clean bed double queen foot hang end minibar empty corridor smell like stale chip fat 4 lift 400 room hotel simply inadequate always horribly crowded pool pleasant 25 metre rooftop pool wer towel area change except small toilet cover area clothe rain pool surround bank air conditioning make feel like swimming factory however bad thing hotel food restaurant say restaurant advisedly stark formica canteen crowded serve bizarre array food could describe foul inedible school canteen perhaps compliment anyone prison would doubt get flashback cook make omelette one cook egg dish pre cook slab rubber scramble egg one day foul lukewarm runny soup next eat anything horrible sodoe pay 230aud night singapore protect crap hotel rubbish food absolutely would well 5 square metre box window half price least way expectation would disappointed hate hotel several conversation manager try help short refund money always feel rip hence review warn see next time say left tell optimist
252,good location,2017 - 02,4,stay 3 night well place travel around city breakfast cater taste good room clean comfortablethere safe valuable could leave room rooftop swimming pool great relax day sightsee
253,free wifi,2017 - 05,3,general stay hotel ok room nice clean however staff give room 1 queen sized bed despite know 3 one room breakfast ok buffet variety food bad location good near orchard walking distance somerset orchard gateway mall well dhoby ghaut station somerset station like cross street hawker place get cheap delicious food staff ok mixed feeling staff find snobbish really helpful however like stay free wifi give 100 mb whole 3 day pay around s12 extra wifi
254,stay chancellor orchard,2017 - 04,3,stay hotel two nightslocation hotel excellent 23 minute walk orchard road staff reception helpful friendlybut cleanliness restaurant breakfast good need improvement choice vegetarian breakfast limit need improvement live station even egg preparation
255,great,2016 - 06,4,central location heart orchard area hence high end shop food outlet present near good service staff helpful amicable could little problem checkin good hotel
256,excellent hotel tourist,2017 - 05,5,conveniently locate near dhoby gaut 650 metre somerset 350 metre mrt station heart orchard shopping area walkable distance shopping mall good night life pub friendly supportive staff cost effective ideal tourist
257,staycation,2017 - 04,4,reading review bite nervous hotel upon reach 3 pm greet friendly receptionist name mimi checking go smoothly surprisedthe premier room twin bed clean cosy bathroom small bath tub room view ok one downside though movie channel pool roof top nice onlooker private get premier room top floor mine 1041 book agoda rate quite reasonable hotel orchard road
258,annual hoilday,2017 - 04,3,ok hotel without frill breakfast medium though location good orchard road reasonably price take room 5th floor face roadexcellent view room concierge helpful 100 mb internet whole staydisappointing
259,bad old hotel,2017 - 04,2,hotel situated priviledge place completely useless internet connection horrible every time og room connect connection og room another floor another room different floor absolutely connection pool old day defenitely hotel use business hotel badly poor equip room small ugly oldcarpete wall wall antihygenic bad asmatich people people alleregie reseption little attractive bar service available hotel basically asian tour operator european therefore standard different breakfast poor scramble egg like soup absolutely horible recoomend place even location good spend copule dollar get well hotel
260,great location decent enough hotel,2017 - 04,3,stay 2 night part tour luckily hotel long tight room tour buffet breakfast limited option wifi weak almost point unusable tv break twice staff friendly though maintenance come right away fix tv although break twice show dirty wash away redeem factor good location orchard road easy go shop eat outside would stay though
261,disappointing,2017 - 04,3,mixed feeling hotel book singapore airline mark checkin wonderful credit hotel much appreciate late checkout room however clean well terrible smell hotel great location one street back orchard road book deluxe room breakfast singapore airlines flight room definitely deluxe breakfast around 9 vegetable bun hash browns cold scramble egg runny cold poor looking watermelon fruit overall apart mark hotel disappointing
262,staff manager cheat,2017 - 04,1,horrible experience staff cheat high order take deposit 150 dollar start never refund whole amount slap random bill call internet charge never make use realise mistake apologise say thing like 60 incident speak guest complain thing hotel slap bill random charge hope see still get 60 back prove make call room
263,bad hotel orchard,2017 - 04,2,location good bed standard service bad come house keep force clean room still sleep knock time front desk stupid front desk know check room take long time decide left window shopping lunchdinner back still need present passport like first time know wait window shopping lunch dinner breakfast know breakfast divide 2 part group individualnon group well non group breakfast cause variety food group breakfast like compliment complete individual maybe someone say get group breakfast cause book group right see hockey team player sydney consist 20 people get breakfast non group breakfast really unfair folk rethink want stay next hotel club many girl bouncer midnight
264,good location average facility,2017 - 03,3,spend 3 day hotel situate heart shopping district singapore many nice eating place within easy walking distance hotel room clean basic entry foyer somewhat put eat facility clean basic
265,nice weekend,2017 - 04,4,good prime location good front end service good drinking water drinking equipment every room breakfast quality soso come back next vacation singapore bravo
266,great location,2017 - 03,5,thoroughly enjoy stay family location close everything need susan hoo tour desk helpful book tour mini bus susan also give lot helpful tip trick make stay
267,fantastic,2017 - 04,5,chancellor hotel fantastic place stay whilst visit singapore late march great facility also highly recommend susan hoo tour organiser hotel fantastic job tour pick always time would highly recommend hotel susan activity singapore
268,susan awesome,2017 - 04,5,hotel nice comfortable clean susan hoo book tour attraction excellent help tip trick help enjoy holiday full highly recommend book
269,well budget hotel,2017 - 04,4,least hotel well budget hotel stay twice stay premier room room clean decent good hot cold water dispenser need boil water premier room come small bathtub free wifi smart tv watch youtube amenity room pretty decent room rather spacious hotel staff friendly especially ms jenny duty manager downside breakfast good take room far end lift night music pub loud disturb sleep
270,great location,2017 - 02,4,friend stay two night choose hotel location turn expect perfectly situate want limited time room comfortable reception staff helpful downside complexity understanding use hot cold water dispenser finally manage get boiling water cup tea morning leave give good old fashioned kettle day
271,good budget hotel,2016 - 05,4,visit year back wife honeymoon trip stay 4 night comfortable room couple interior fine take breakfast buffet must go sight see sumptuous buffet come time overall rating 354 star situation nearby walk distance 10 minute mustafa mall ananda bhawan paradise vegans backyard hotel indian restaurant food suit pocket
272,hotel great location,2017 - 03,3,stay hotel 4 night room small neat clean hotel strategic location access metro orchard road many shopping mall internet room 20mps access room find smart tv use experience online tv gaming etc also machine give hot water cold water love innovation hotel give customer good experience small shop lobby friendly nice seller buy drink souvenir good price breakfast disappointing dose offer much air conditioning system work well without noise offer good experience
273,bad hotel ever stay,2017 - 03,1,march husband self book stay hotel couple nite go cruise nitre go come cruise pay front flour 8 stay 1st stay room 813 room smal two single bed push together make double pillow smelt vomit change smal room bathroom bath walk shower thin dirty carpet basic large flour wall window suitable anyone afraid height veiw smal garden rest room tv work occasionally english channel internet give small amount charge explain check give bill check staff helpful trip book staff helpfull friendly brakefast say snack apple fruit one flavour yougar cold scramble egg bacon sausage boil egg roll cheese cold meat bottom line lot go oozed part group go another din room available large number group child stay never see bar open also brakefast serve hotel around 15 singapore dollar go marina 15 sentiosa island 10 go flyer port taxi outside hote taxi driver new hotel return 2nt nite kept wake till 5 due nite club music taxispeople come go hot water coffee room smell urine although bed clean think carpet would recommend hote
274,holiday,2017 - 02,5,room bit small high 9th floor view great back hotel look big wheel hotel ship build top breakfast poor busy week end alot walk try open top bus great way see load need get dock see stuff place offer go raffle singapore sling
275,good location,2017 - 03,3,location good shoppingit close orchard roadroom small cleanbreakfast dissapointedwalking distance mrt station kind cusine resturantaverage 3star hotel
276,holiday,2017 - 03,3,strategic location orchad circuler trip nice location shopping easy get kind meal room clean tidy quite compact composition set also interste dispenser water cold n hot
277,good price great location,2017 - 03,3,stay 4 day friendly front desk small room even small bathroom shower inside elevate tub glass partition aside grom curtainmake difficult get danger slip rubber mat inside tub hot cold shower never consistent suddenly turn hot cold bidet sad news family plus location orchard road good shopping mall walk distance sure check imm first buy orchard
278,3 night stopover,2017 - 02,5,lovely hotel ideal location room immaculate big however everything need handa big window floor ceiling give great view city room 109breakfast worst good plenty choicethe roof top pool lovely relax day sightseeingplenty taxis outside corner aswell hawker great local food n beerwe eat time explore
279,stop singapore,2017 - 03,3,stay 3 night return home australia arrive late evening check wax quick easy room 9 floor quite high good like height fine even little small side bathroom also small clean adequate need wi fi totally reliable breakfast cater range taste culture although egg look little watery invite plenty juice tea coffee location hotel good close main shopping mall underground place eat taxi easy come right outside cheap swimming roof great toilet shower view city staff helpful although maid remove key card electricity connection leave ideal short stay
280,well great location,2017 - 03,3,great location friendly staff room small housekeepingwas shower deep bath extremely dangerous less agile close somerset mrt orchard rd breakfastabsolutely disgusting well value elsewhere
281,bad hotel good location,2017 - 02,4,hotel bit hide away taxi driver rouble find decent hotel room clean small small bathroom odd shaded glass wall shower bedroom rooftop pool good open 7am8pm long good addition hotel next small food market shop massage clinic although fair professional lady hang foyer 8 pm bit put would stay
282,good,2017 - 03,3,entrance carcoach park bed comfortable sheet clean bathroom need detail cleaning room small price would stay reception service need new training seam pick phone second ring well service hotel right main road hear road night
283,overprice hotel room good service,2017 - 02,3,location cbd walk check time slow even many people receptionist accent difficult understand book 3 room want room close together say 2 room ready 1 good coz check 1 hour early say could come back get go room would nearby 200pm come get room give room another floor inconvenient overall everything ok staff friendly helpful
284,strategically locate,2017 - 02,4,hotel locate walk distance anywhere mrt malls bus stop big shopping district singapore room clean spacious breakfast standard issue check
285,great location orchard road,2017 - 03,3,room small especially share 9 4 year old bathroom tad dangerous anyone get year step bath grab rail anti slip mat bathadequate short stay rooftop pool great dip sightseeing usually ourselveslot noisy tour group try restaurant heap place eat close mrt station short walk away
286,pathetic,2017 - 02,2,stay hotel part large group februaryroom clean daily teacoffee replenish properly quantity smallroom little bit small cramp bed suitable tall peoplebreakfast separate tour group service nightmareeven hot milk charge extra singapore dollar breakfastif vegetarian avoid breakfast hotel even cup miss tea coffee station breakfastthe staff remind matter come back
287,spacious room corner orchard road,2017 - 02,4,find hotel corner orchard road behind mall building chancellor orchard great location taxi stop straight front hotel door bus stop mrt somerset station station reach 5 min walk many food stall convince store around hotel stay get spacious modern room everything almost ok except hear loud music somewhere make sleep well may improve room noise reduction rooftop pool great view pool narrow still comfort enough swim
288,hotel orchard road,2017 - 02,2,hotel orchard road pick airport check slow dispenser room nice location close orchard orchard road expensive want cheap go bugis junction wifi
289,short visit,2017 - 02,3,visit hotel chancellor orchard less time ie 3 hour visit comfortable staff cooperative ambience hotel also good indian food offer average taste
290,good location good service,2017 - 02,2,stay 5 night friend business trip spend much room sleephotel location good nearly mrtshoppe town food center hotel breakfast 1 time finish many people food finish time 9 glass finish staff enough food one fill walk around child make dirty sit eat leave point staff take care breakfast enough check early friend still room point service reception 1 guest check many problem sure pay need extra night come ask lady reception listen 1minute want return key leavel lose flight soon wait almost 20 minute say sorry tell seem understand try fill disturb conversation really understand first come first serve priority urgent hotel big need separate cashier check reception check hotel group good process support make smooth room price cheap staff unfriendly lady short hair never smile try listen guest every easy smooth work 8 year hospitality management service mind important thank
291,rude staff ever,2017 - 02,1,maybe use polite good hospitality service hotel bali experience stay hotel unpleasant call front desk adaptor phone suggest use adaptor behind tv unplug one behind tv tv contact front desk could send someone help politely answer send technician come small technician guy grumpy face scold unplugged adaptor behind tv could believe someone work hospitality would rude guest questioning kind attitude normal country
292,6 day stay pleasantly surprised,2017 - 02,4,arrive early morning give early check room wonder room available night find directly terrible karaoke bar second night ask move move immediately hotel overlook garden really quiet stunning staff friendly great stay room clean immaculate little run last day 6 pm late check room clean morning think little cheeky pool rooftop amazing help cool load sightseeing
293,stay away cost,2017 - 02,1,hotel busy busloade tourist group hotel people come go time hotel purport soft opening stage renovate think message may long time positive fast efficient check check beautiful rooftop pool great centralise location orchard rd mrt bus negative old hotel renovate cheap possible way room extremely small cheap wear carpet small bed suppose queen size foot hang end I 175 cm tall roll roll bed break fixture rise damp crumble ceiling smallest disgusting mould ride bathroom ever use hotel buy bleach clean use stay one night ask move another room tell fully book definitely place would recommend stay picture speak thousand word
294,terrible terrible terrible hotel,2017 - 01,1,bad hotel avoid cost blood stain hotel give hotel room size shoe box bathroom ceiling mouldy stain bed sheet get replace find blood stain toilet bowlurggg outside hotel smell sewage across road sex shop dodgy massage store condom shop top staff disrespectful rude afford get lot group book careplus breakfast seem fresh us guy favor go
295,touristic category singapore hotel price always expensive,2017 - 02,3,hotel big group tourist good relation price quality anyhow cost 120 euro per night singapore unjustified high level price hotel whoever pass singapore lemon squeeze unfortunately quite impossible find price low
296,pretty good,2017 - 01,4,stay property day business trip location excellent short walk orchard road close proximity decent shopping mall room decent size well appoint room service quick food nice try buffet like room service menu option entire hotel nonsmoking go way smoke price amenity good would like come back stay next time definitely worth stay
297,good location,2017 - 01,3,locate nice clean city easy go shopping center visit famous place go group agent breakfast prepare group bore simple food 4 day rest ok
298,holiday nephew brother,2017 - 01,4,recently holiday singapore got stay hotel chancellor orchard rd excellent place excellent people cozy room nice food hotel swimming pool 10th floor well end hard day swimming rooftop enjoy beautiful night scenery close amenity night life vibrantfor want take stroll busy market place enjoy food outdoorb locationhad great time alltogether highly recommend anyone want go
299,nice location,2017 - 01,3,room location good easy access near 711 food stall n orchard shopping mall internet wifi limit 100 mb ur stay bad like recommend hotel ur stay orchard singapore
300,great position value,2017 - 01,4,comfortable affordable although small size find clean well worth money singapore close orchard road easy get around shopping restaurant staff friendly front desk fast efficient would definitely stay
301,excellent location,2016 - 11,4,excellent location hotel locate 2 minute walk orchard rdexcellent shopping locationand near mrt room clean tidy bed comfortable staff helpful friendly go back singapore definitely stay
302,expect much,2016 - 12,3,stay hotel 2 night business purpose hotel location excellent locate next orchard road 3 minute walking distance orchard central 5 minute walk distance somerset mrt station hotel room small fine 1 person bathroom small room next highway view good quite noisy day time clean good find card leave previous customer curtain hotel little bit new maintenance bad find shower damage free wifi quite incredible
303,surprise,2017 - 01,4,read previous review hotel extremely apprehensive check pleasantly surprised although get hotel 25hrs early fuss give room girl reception friendly helpful room clean service everyday without fuss although sleep till late occasion say great stay return
304,good price excellent service,2017 - 01,5,honest try find okay hotel good value travel limited budget choose chancellor location perfect orchard road price low quality level arrive room space small expect exactly like see profile clean tidy interior kind new top everything lose valuable thing room service hotel manager excellent name jack never forget help lot call pick item day would recommend u guy try stay travel budget value quality superrr totally worth every penny
305,comfortable stay,2016 - 12,3,go attend wedding singapore book stay hotel land hotel bell boy available take care luggage manage book room 3rd floor accessible one good people check tell swipe key lift able access third floor well press button 3rd floor light almost immediately lift start going stop 3rd floor go 5th people enter pressed ground press 3rd lift stop go till another person swipe card 3 rd floor button light person tell need room definitely comfortable though rather small get pay morning usually one cup tea housekeeping tell one tea bag provide room need go buy additional tv channel limit perhaps 9 10 none suit indian background british matter wifi internet speed good limit time per day well ok provide fresh towel every day stay three night ask change sheet ok room course air condition temperature fix varied suit preference yes shop near reception one buy tea bag etc receptionist advice get taxi arrange hotel would expensive instead call one get one additional charge
306,bad stay,2017 - 01,1,front desk receptionist duty manager lack communication treat guest poorly manner arrogant hotel training staff accordingly never change bedsheet stay 11 day leave note ask change bedsheet bad restaurant good food choose hotel good location location make hotel attractive 24 hrs room service next time stay bad hotel staff
307,bad experience ever,2017 - 01,1,never disappoint frustrated hotel like one pretty new hotel locate area orchard road therefore expect hotel well organize clean wellequippe totally disaster evening arrive wait 15 minute checkin 1 guest checking call manager awareness serve guest prior busy computer stuff supervisor tell middle checkin pass another receptionist guy refuse reach ridiculous finally get room check room find stain spot smell bathroom directory description phone call safety lock half finish carpet dirty toilette cheap quality motel china write hotel reservation reserve baby cot july answer email december day arrival give baby cot remind buttheir answer able provide 6 pm another guest use imagine get baby cot ready 6 pm ask bad thing cockroache room baby parent stay believe checkout stay 4 night charge local phone call phone call make restaurant hotel unanswered say bad hotel experience ever 30 year travel good comment location close orchard road
308,one day stay business,2017 - 01,4,big modern room clean date hotel 12 month old breakfast great hotel staff approachable knowledgeable thing around city tour leave hotel regularly
309,bad rustic hotel service,2016 - 12,2,stay hotel 23rd december 2016 27th december 2016 terrible experience family stay 5 day hotel bad experience hotel room service terrible international television international television channel free internet sake say even u take first class room u get 100 mega byte datum till checkout date 2 sugar 2 tea bag day 3 person daily newspaper proper wash room kit dental kit light swimming pool shower wash room late room check service lobby sit arrangement reviewer take hotel
310,underrated service,2017 - 01,1,maybe manage staff well train employee handle guest good way receptionist seem like willingly service guest even ask guest need breakfast horrible waiter chef know speak guest manner yes hotel maybe one cheap area course serve cheap way never return hotel
311,disappoint,2016 - 12,1,stay hotel december 2015 happy everything year december 2016 book hotel another 2 couple friend arrive check receptionist totally customer service rude sure job manager duty probably know go choose ignore friendly people hotel 2 bell boy meet friendly greet every guest whenever see get room dirty toilet smelly check 2 couple say thing embarrass highly recommend hotel location good stay hotel hotel one half year old place look 10 year old disappointed sad maintain hotel well
312,location,2016 - 12,5,hotel near orchard roadwhich one posh locality world class shopping mall showroomslittle india far easily accessible mrt cabshotel decent amenity rooftop swim pool though room spacious amenity one thing like water dispenser serve hot cold water hotel effort stay green
313,excellent hotel handy location,2016 - 12,5,stay hotel week right orchard road visit christmas street well decorate hotel close shopping mall food joint opposite hotel hawker place get good food hotel 15 20min walk near mrt take taxi couple time tiring day singapore need lot walk prepared average cost cab would range 10 25 room small clean good enough couple premise well maintain roof top pool clean accessible one lift mark reception help smooth early check arrive 1100am allow check reception staff friendly except one ask suggestion rude interested answer overall pleasant stay
314,average accomodation handy location,2016 - 12,3,stay family allocate two room floor door apart room small functional look refurbish recently hotel seem tour group book singapore airline stopover independent traveller lobby chaotic time attention staff little lack pretty functional place sleep air conditioning work mandatory singapore
315,stay feedback,2017 - 01,1,surprisingly horrible experience 1 coldhot water shower tap sync get cold second hot 2 worth price find much well hotel less quotation 3 extremely poor service cold gesture people reception 4 ask extra cupglasse night tell check manager whether provide keep wait call follow tell provide manage provide 2 total 5 24 hour room dine available 6 disappointing swimming pool look like kid pool one available attend pool towel make available 7 room window curtain break arrive singapore 28 dec check park hotel clarke quay superb hotel tariff much low chancellor shift chancellor 31dec2jan want stay orchard road truly regret decision clarke quay much happen big tourist planning book hotel awful service food
316,central accessible,2016 - 12,5,centrally locate easily accessible hum shopping area orchard road short walk away hotel opt mrt station orchard road somerset dhoby ghat within 10 min walk distance also excellent network bus move around city ease hotel room nice decently equip stay coffee shop offer nice selection breakfast set base day ahead elite brand shopping mall og metro etc array street side dining joint offer worldwide delicaciescuisine make hotel option go lobby small shop offer basic medicine case require addition knickknack overall nice comfortable stay special note thank blaire leeduty manager provide lot assistance
317,value money,2016 - 12,4,close enough prime location orchard rd hotel easy find great access via mrt behind concorde hotel 3 minute stroll orchard gateway 313 somerset another direction bring plaza singapura mrt station building seem like old establishment heavily refurbish everything brand new lobby seem little worn room good size price location double insulated glass also help lot keep room nice quiet overall good comfortable stay
318,nice hotel near orchard,2016 - 12,4,hotel near food court hotel grand central think hotel suitable group tour location like water dispenser every room swimming pool room think fit 3 person 2 adult1 child love rain shower bathroom price okay hotel near orchard area service poor poor maybe greet smile staff expect much breakfast husband hate simple boring
319,friendly hotel,2016 - 11,4,iranian tour guide stay nice hotel 26 november 2016 29 nov 2016 48 people 45 female 3 passenger man lot retire teacher arrive hotel staff welcome smile face get good energetic forgot tiring check soon possible assistant welcome kind give lot information singapore give map singapore evening wanted go sea go help hire 2 mini bus uswe enjoy lot room clean expect clean place restaurant clean hardly find clean table sit cup wash clean uniform staff restaurant boring wear uniform need something print receptionist help print lady work tour desk kind helpful woman thank lot promise send tour country iran view room beautiful want leave hotel country assistant escort bus city tabriz capital islamic country 2018 invite duty management tour desk come iran tabriz 2018 whenever decide go singapore choose hotel reason 1 lobbys clerk smile face kind 2 locate good area close every good wish
320,service poor,2016 - 11,3,hotel central near orchard road great shopping late checkout return room 1130am checkout midday find card power room would work consequently finish pack dark little natural light staff friendly helpful towards westerner
321,mediocre perhaps cheap choice area,2016 - 11,2,several issue hotel major one booking book hotel third party website three week trip payment hotel direct upon checkin book wrong type room accidentally design booking website bit mislead find mistake immediately call hotline third party hotel booking website request cancellation within 3 minute book next day booking website call back inform hotel refuse cancel reservation would deduct full amount credit card cancel however gesture goodwill booking website would refund whole amount relief surprise hotel rigid booking move charge credit card immediately learn cancellation instead wait till day show bad get refund hotel booking website unless website telling lie truly appreciate reflect badly hotel check hotel assign room face wall another building object book clearly state room city view insist hotel say guarantee subject availability second say hotel give another room view city think reflect badly hotel manage reservation regard room bathroom inside bit small overall size room bad room use bathtub walkin shower boiler room hot drinking water look weird really good thing family two room one room dirt wall look bad promotion material mention hotel open 2015 observe hotel might refurbish renovate one rather brand new hotel stay november 2016 repaint work hallway location hotel really convenient far somerset mrt bus stop orchard road step away hotel enjoy good location stay want close orchard road could find anything cheap frankly room okay price sell cheap perhaps consider area stay
322,still people,2016 - 12,4,well hotel chanchellor standout one particular employee second day stay much chagrin tell miss tour group minute apparently tour guide tight schedule decide leave without ms constantine among man front desk go way contact tour agency guide could catch tour plead beg cajole appeal tour operator accomodate also pleasantly engage small talk several call make finally succede convince operator reconsider case call taxi wait main entrance give driver instruction take also give personal number case encounter problem along way simply amazing hotel amenity facility people
323,handy location,2016 - 10,4,hotel offer good accommodation realistic price orchard road adjacent cheap eat staff friendly easy walking distance train station wonderful shopping centre along orchard road
324,good value money,2016 - 11,4,great stay chancellor value money good location good hotel person want come sleep hotel staff nice helpful free fast internet like drink water machine room give u cold warm water
325,good value money orchard singapore,2016 - 12,4,second time stay hotel chancellor 2 24 dec 2016 room small family two child five quite comfortable clean hotel staff friendly enough full breakfast selection quite diverse crowded breakfast comfortable place relax breakfast time hotel recommend breakfast quickly position hotel orchard area affordable price main reason stay hotel close place eat kosh far mall area orchard near mall orchard orchard gateaway orchard point hotel far dhoby ghaut mrt somerset also important point choose hotel singapore yes go stay 3rd time go singapore
326,good value money,2016 - 12,5,hotel surpassingly good staff nice helpful room clean free fast internet hotel absolutely bargain good location orchard road easy access go anywhere good room good view
327,excellent location,2016 - 12,4,6 night stay 4 star property overall good experience room bathroom clean well maintain good wifi connection room book premier room face difficulty breakfast vegetarian option strategically locate mrt bust stop thus make commute easy tourist sommerset mall orchard central walk distance 34 spa around area 711 also walk distance
328,overprice worth long shot,2016 - 11,1,staff right rude room pokey smell good even breakfast nothing write home love singapore place certainly worth price many nice place around lot less homework
329,poor service front office coffe shop,2016 - 11,3,really disappoint hotel service front office take 10 minute checkin restaurant staff lie back passion perhaps hotel receive many asia group see many vietnam korean stay inexperience traveler cause lot trouble hotel make staff become inpatient service hotel hardware fine location next orchard road require pay extra charge cbd area interest stay recommend friend hotel
330,small need update,2016 - 11,3,staff friendly bed nice compfy however room tired need refreshing room small typical hotel style room small compact stay 2 night ok quick stay stay modern place similar price close orchard transport good pool awesome roof view big clean
331,great location,2016 - 11,4,short walk orchard road handy singapore airline hop hop service orchard parade stop handy mtr well room bit small long stay would stay location good buffet breakfast
332,nice homely hotel affable staff,2016 - 11,5,third time stay property conveniently locate decent sized room amenity good wifi room clean neat good housekeeping front desk helpful cooperative especially ms constantine
333,nice location high level professionalism,2016 - 10,3,location good however place attraction nearby near mrt summerset property modern room small neat clean necessary amenity breakfast wide overall good hotel staff need friendly helpful smile face bring blood pressure end host guest
334,great location,2016 - 11,4,value price get basic important clean bathroom even bath tub hot shower airconditione important great location centrally locate close somerset station also walk dhoby ghaut station airport take train somerset luggage easy walk hotel behind hotel concorde middle many mall lot people lobby time circus check easy give name agoda book already computer complaint
335,excellent room,2016 - 10,5,renovate two year ago hotel grand foyer entrance room spacious enough clean new impressed drink water system instal room away need boil water kettle bath room spacious enough staff helpful thank front desk manager lisa help change double bed
336,acceptable price,2016 - 07,3,hotel worth money pay staff always helpful could improve lobby area find swamp tourist alight tour bus neighborhood around friendly late hour day one good thing hotel location convenient near orchid road short walk away mrt
